auctionId,auctionSupply,decimals,entityId,entityName,entitySymbol,estimatedEndTimestamp,estimatedStartTimestamp,minBiddingAmount,minPriceInMoxie,subjectAddress,status
31,1.2528e+22,18,"frontend","/frontend","cid:frontend","2024-08-02T14:00:37Z","2024-07-30T14:00:49.616059Z",10000000000000000,0,"0xd15353c2d7ab43a52b103bc0d6c97c97429ef0f6","COMPLETED"
32,667000000000000000000,18,"7960","sheldon","fid:7960","2024-08-02T14:00:39Z","2024-07-30T14:00:49.668167Z",10000000000000000,0,"0x09c2838c077573be09e8959501c22a3054ff65d9","COMPLETED"
27,412000000000000000000,18,"roam","/roam","cid:roam","2024-08-02T14:00:29Z","2024-07-30T14:00:46.422098Z",10000000000000000,0,"0x40816de87489fb1a744d9c546e8994c9b2d40e40","COMPLETED"
28,3.7739e+22,18,"base","/base","cid:base","2024-08-02T14:00:31Z","2024-07-30T14:00:46.367092Z",10000000000000000,0,"0x04e6f111ebf6fd25576d480480962435dc3aa8d8","COMPLETED"
25,2.2859e+22,18,"16148","eulerlagrange.eth","fid:16148","2024-08-02T14:00:23Z","2024-07-30T14:00:46.362558Z",10000000000000000,0,"0x68b44ea0b78aff90e328406768bedcd387000d31","COMPLETED"
18,1.042e+21,18,"278406","joellelb","fid:278406","2024-08-02T14:00:13Z","2024-07-30T14:00:28.580662Z",10000000000000000,0,"0xc9eae131858bb939e5117b283dc2ca70b0589fc0","COMPLETED"
22,1.537e+21,18,"284063","kyb","fid:284063","2024-08-02T14:00:17Z","2024-07-30T14:00:29.713556Z",10000000000000000,0,"0x60da6adb09e45f24d694d560b04e194184519b80","COMPLETED"
33,547000000000000000000,18,"degen-art","/degen-art","cid:degen-art","2024-08-02T14:00:41Z","2024-07-30T14:00:49.716281Z",10000000000000000,0,"0x313b646159628a327efc52cecddcab3e7ad5d264","COMPLETED"
23,1.235e+21,18,"309710","nomadicframe","fid:309710","2024-08-02T14:00:19Z","2024-07-30T14:00:28.650994Z",10000000000000000,0,"0x255148be130862531729937152d82c51142a5d56","COMPLETED"
37,743000000000000000000,18,"337018","baubergo-","fid:337018","2024-08-02T14:00:49Z","2024-07-30T14:01:03.930773Z",10000000000000000,0,"0x9d3e7fe9bd43d664ecb64b12d7d0f2b447dfbc0c","COMPLETED"
